SubjectID,Application,LogTime,TaskName,SessionNumber,TaskVersion,TrialNumber,TrialPrompt,TrialAnswer,TrialAccuracy,ProcessTime(msec)
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,1,TALK,speak,1,4065.863
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,2,COUCH,sofa,1,4268.454
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,3,REMEMBER,recall,1,2801.035
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,4,PARDON,forgive,1,4401.662
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,5,HIDEOUS,tilted,0,14405.384
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,6,MASSIVE,large,1,3534.33
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,7,PROBABLE,likely,1,3334.796
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,8,IMPOSTOR,pretender,1,3534.562
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,9,FASCINATE,enchant,1,8669.98
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,10,EVIDENT,obvious,1,6268.949
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,11,NARRATE,tell,1,3734.97
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,12,HAUL,twist,0,9336.561
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,13,HILARITY,laughter,1,4535.178
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,14,IGNORANT,uninformed,1,6602.42
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,15,CAPTION,ape,1,6002.204
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,16,INDICATE,defy,0,5868.974
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,17,SOLEMN,serious,1,14271.85
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,18,FORTIFY,strengthen,1,13672.059
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,19,MERIT,deserve,1,10403.935
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,20,RENOWN,loyalty,0,7602.775
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,21,FACILITATE,bewilder,0,6335.791
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,22,AMULET,charm,1,6735.831
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,23,STERILE,tart,0,6068.884
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,24,CORDIAL,affable,1,7269.481
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,25,SQUANDER,belittle,0,13071.568
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,26,SERRATED,notched,1,8736.581
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,27,PLAGIARIZE,pilfer,1,9403.665
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,28,ORIFICE,lute,0,8736.574
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,29,PRISTINE,vain,0,3934.842
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,30,INNOCUOUS,pure,0,8136.282
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,31,JOCOSE,fervid,0,7269.329
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,32,RUE,lament,1,6535.807
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,33,INEXORABLE,relentless,1,13205.091
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,34,DIVEST,pledge,0,3401.147
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,35,MOLLIFY,mitigate,1,3067.938
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,36,QUERULOUS,maniacal,0,7936.258
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,37,ABET,incite,1,4268.188
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,38,DESUETUDE,disuse,1,10003.836
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,39,PEREGRINATE,mince,0,10603.886
MT,BGCScience Ver2.6.6,24_06_27_16_17_30,Shipley,0,Shipley,40,QUOTIDIAN,travesty,0,7336.158
